state,data_year,dq_assessment,missing_pct,n_pop,Medicaid_expanded,n_miss,mco_n,mco_pct
Oklahoma,2020,Low concern,5.4,1013201,Adopted,54712.854,N/A,N/A
Oregon,2020,High concern,44.7,1348031,Adopted,602569.857,"968,101",0.835
Pennsylvania,2020,Low concern,6.6,3624813,Adopted,239237.658,"2,752,390",0.922
Puerto Rico,2020,Medium concern,19.6,1495777,NA,293172.292,"1,283,091",1
Rhode Island,2020,Unusable,100,374631,Adopted,374631,"266,861",0.862
South Carolina,2020,High concern,40.5,1441494,Not Adopted,583805.07,"841,387",0.659
South Dakota,2020,Low concern,0,144447,Adopted,0,N/A,N/A
Tennessee,2020,Unusable,100,1802399,Not Adopted,1802399,"1,464,316",0.925
Texas,2020,Medium concern,14.9,5995602,Not Adopted,893344.698,"4,006,196",0.949
Utah,2020,High concern,49.8,439300,Adopted,218771.4,"273,388",0.799
Vermont,2020,Medium concern,18.2,193261,Adopted,35173.502,N/A,N/A
Virgin Islands,2020,Unclassified,19.8,33756,NA,6683.688,,
Virginia,2020,Low concern,4.7,1868400,Adopted,87814.8,"1,398,958",0.95
Washington,2020,Low concern,8,2152771,Adopted,172221.68,"1,607,696",0.878
West Virginia,2020,Medium concern,17.5,640507,Adopted,112088.725,"429,336",0.804
Wisconsin,2020,Medium concern,16.3,1403329,Not Adopted,228742.627,"877,612",0.671
Wyoming,2020,High concern,24.1,83615,Not Adopted,20151.215,N/A,N/A
Alabama,2021,Medium concern,19.6,1402878,Not Adopted,274964.088,,
Alaska,2021,Low concern,7.1,272838,Adopted,19371.498,,
Arizona,2021,High concern,19.6,2437174,Adopted,477686.104,,
Arkansas,2021,Medium concern,14.9,1152267,Adopted,171687.783,,
California,2021,Medium concern,11.3,16234603,Adopted,1834510.139,,
Colorado,2021,Medium concern,12.6,1710550,Adopted,215529.3,,
Connecticut,2021,High concern,27.3,1223603,Adopted,334043.619,,
Delaware,2021,Low concern,0,311205,Adopted,0,,
District of Columbia,2021,High concern,32.5,297695,Adopted,96750.875,,
Florida,2021,Medium concern,16.4,5510766,Not Adopted,903765.624,,
Georgia,2021,Low concern,9.9,2767785,Not Adopted,274010.715,,
Hawaii,2021,High concern,27.3,465405,Adopted,127055.565,,
Idaho,2021,Medium concern,0.6,477902,Adopted,2867.412,,
Illinois,2021,Medium concern,8.8,3781977,Adopted,332813.976,,
Indiana,2021,Medium concern,18,2114996,Adopted,380699.28,,
Iowa,2021,High concern,30.1,882759,Adopted,265710.459,,
Kansas,2021,Low concern,9.1,532195,Not Adopted,48429.745,,
Kentucky,2021,Medium concern,16.8,1873930,Adopted,314820.24,,
Louisiana,2021,High concern,11.1,2017204,Adopted,223909.644,,
Maine,2021,Medium concern,11.7,444027,Adopted,51951.159,,
Maryland,2021,Medium concern,19.2,1733477,Adopted,332827.584,,
Massachusetts,2021,Unusable,50.5,2266103,Adopted,1144382.015,,
Michigan,2021,Low concern,5,3094494,Adopted,154724.7,,
Minnesota,2021,Medium concern,12.1,1386771,Adopted,167799.291,,
Mississippi,2021,Medium concern,15,886570,Not Adopted,132985.5,,
Missouri,2021,Low concern,8.2,1352301,Adopted,110888.682,,
Montana,2021,Medium concern,12.4,326210,Adopted,40450.04,,
Nebraska,2021,Low concern,7.3,386142,Adopted,28188.366,,
Nevada,2021,Low concern,3.5,952288,Adopted,33330.08,,
New Hampshire,2021,Medium concern,10.6,276141,Adopted,29270.946,,
New Jersey,2021,Medium concern,10.9,2204179,Adopted,240255.511,,
New Mexico,2021,Low concern,1.5,1001673,Adopted,15025.095,,
New York,2021,High concern,30.4,8147835,Adopted,2476941.84,,
North Carolina,2021,Low concern,0.7,2859167,Adopted,20014.169,,
North Dakota,2021,Low concern,0.6,135002,Adopted,810.012,,
Ohio,2021,Low concern,7.1,3463424,Adopted,245903.104,,
Oklahoma,2021,Low concern,5.6,1250460,Adopted,70025.76,,
Oregon,2021,High concern,24.6,1466932,Adopted,360865.272,,
Pennsylvania,2021,Low concern,7,3765733,Adopted,263601.31,,
Puerto Rico,2021,Medium concern,16.8,1561477,NA,262328.136,,
Rhode Island,2021,High concern,0.4,392600,Adopted,1570.4,,
South Carolina,2021,High concern,42.7,1527800,Not Adopted,652370.6,,
South Dakota,2021,Low concern,0,153659,Adopted,0,,
Tennessee,2021,Unusable,54.9,3132726,Not Adopted,1719866.574,,
Texas,2021,Medium concern,15.4,6472127,Not Adopted,996707.558,,
Utah,2021,Unusable,52,502530,Adopted,261315.6,,
Vermont,2021,Medium concern,18.1,204759,Adopted,37061.379,,
Virgin Islands,2021,Unclassified,18.9,37494,NA,7086.366,,
Virginia,2021,Medium concern,5.5,2051907,Adopted,112854.885,,
Washington,2021,Low concern,7.6,2278131,Adopted,173137.956,,
West Virginia,2021,Medium concern,17.5,677752,Adopted,118606.6,,
Wisconsin,2021,Medium concern,11.5,1519807,Not Adopted,174777.805,,
Wyoming,2021,High concern,25.8,87866,Not Adopted,22669.428,,
Alabama,2022,Unclassified,19,1488718,Not Adopted,282856.42,,
Alaska,2022,Unclassified,7.2,282018,Adopted,20305.296,,
Arizona,2022,Unclassified,18.3,2609315,Adopted,477504.645,,
Arkansas,2022,Unclassified,12.9,1212425,Adopted,156402.825,,
California,2022,Unclassified,12.7,17089683,Adopted,2170389.741,,
Colorado,2022,Unclassified,11.9,1853076,Adopted,220516.044,,
Connecticut,2022,Unclassified,28.7,1307758,Adopted,375326.546,,
Delaware,2022,Unclassified,0,333706,Adopted,0,,
District of Columbia,2022,Unclassified,32.9,311369,Adopted,102440.401,,
Florida,2022,Unclassified,16.5,6017645,Not Adopted,992911.425,,
Georgia,2022,Unclassified,10.7,2951088,Not Adopted,315766.416,,
Hawaii,2022,Unclassified,28.5,490011,Adopted,139653.135,,
Idaho,2022,Unclassified,1,509290,Adopted,5092.9,,
Illinois,2022,Unclassified,10.1,3995756,Adopted,403571.356,,
Indiana,2022,Unclassified,7.5,2293659,Adopted,172024.425,,
Iowa,2022,Unclassified,30.5,930473,Adopted,283794.265,,
Kansas,2022,Unclassified,9.5,567501,Not Adopted,53912.595,,
Kentucky,2022,Unclassified,13.5,1817170,Adopted,245317.95,,
Louisiana,2022,Unclassified,11.8,2098686,Adopted,247644.948,,
Maine,2022,Unclassified,12.8,480252,Adopted,61472.256,,
Maryland,2022,Unclassified,17.7,1835983,Adopted,324968.991,,
Massachusetts,2022,Unclassified,50.9,2451454,Adopted,1247790.086,,
Michigan,2022,Unclassified,5.1,3271752,Adopted,166859.352,,
Minnesota,2022,Unclassified,13.6,1489784,Adopted,202610.624,,
Mississippi,2022,Unclassified,14.8,923995,Not Adopted,136751.26,,
Missouri,2022,Unclassified,8.7,1557886,Adopted,135536.082,,
Montana,2022,Unclassified,12.5,345312,Adopted,43164,,
Nebraska,2022,Unclassified,4.9,426022,Adopted,20875.078,,
Nevada,2022,Unclassified,3.6,1034764,Adopted,37251.504,,
New Hampshire,2022,Unclassified,10.3,292091,Adopted,30085.373,,
New Jersey,2022,Unclassified,11.7,2346515,Adopted,274542.255,,
New Mexico,2022,Unclassified,1.7,1038464,Adopted,17653.888,,
New York,2022,Unclassified,32.7,8581817,Adopted,2806254.159,,
North Carolina,2022,Unclassified,0.7,3067443,Adopted,21472.101,,
North Dakota,2022,Unclassified,0.5,144335,Adopted,721.675,,
Ohio,2022,Unclassified,7.1,3662952,Adopted,260069.592,,
Oklahoma,2022,Unclassified,5.7,1415590,Adopted,80688.63,,
Oregon,2022,Unclassified,23,1575788,Adopted,362431.24,,
Pennsylvania,2022,Unclassified,7.7,4084601,Adopted,314514.277,,
Puerto Rico,2022,Unclassified,15.5,1614739,NA,250284.545,,
Rhode Island,2022,Unclassified,0.4,408421,Adopted,1633.684,,
South Carolina,2022,Unclassified,44.6,1619169,Not Adopted,722149.374,,
South Dakota,2022,Unclassified,0,163709,Adopted,0,,
Tennessee,2022,Unclassified,24.3,1972001,Not Adopted,479196.243,,
Texas,2022,Unclassified,16.5,6940821,Not Adopted,1145235.465,,
Utah,2022,Unclassified,54.5,555724,Adopted,302869.58,,
Vermont,2022,Unclassified,18.2,213191,Adopted,38800.762,,
Virgin Islands,2022,Unclassified,18.4,39181,NA,7209.304,,
Virginia,2022,Unclassified,6.2,2234515,Adopted,138539.93,,
Washington,2022,Unclassified,7.3,2414012,Adopted,176222.876,,
West Virginia,2022,Unclassified,18.2,709938,Adopted,129208.716,,
Wisconsin,2022,Unclassified,12.1,1619656,Not Adopted,195978.376,,
Wyoming,2022,Unclassified,29.9,96911,Not Adopted,28976.389,,
